Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-Apr-23,8694.1,8698.5,8651.2,8678.4,38905635,3148.24
10-Apr-23,8684.65,8734.95,8665.7,8709.8,29870619,2885.03
11-Apr-23,8722.15,8769.45,8702.25,8726.1,44581730,3739.83
12-Apr-23,8753.2,8753.8,8708.15,8744.6,39049288,3829.16
13-Apr-23,8732.85,8741.35,8699.9,8712.5,36756727,4434.52
17-Apr-23,8679.65,8692.6,8609.8,8673.9,56509347,6213.07
18-Apr-23,8695.85,8699.1,8648.9,8680.15,39006620,3698.18
19-Apr-23,8681.8,8690.2,8604.7,8617.85,41240546,4132.66
20-Apr-23,8620.35,8661.4,8586.55,8601.05,34366709,3721.9
21-Apr-23,8616.05,8643.25,8590.45,8638.8,50817977,4488.26
24-Apr-23,8650.45,8673.65,8596.2,8669.45,40366886,3962.59
25-Apr-23,8673.5,8690.9,8636.4,8682.4,47338261,4102.93
26-Apr-23,8697.1,8732,8676.3,8724.95,37114605,4037.49
27-Apr-23,8725.25,8750.05,8706.3,8739,43668246,4320.42
28-Apr-23,8739.65,8829.9,8725.15,8813,66873708,5686.54
02-May-23,8843.65,8865.75,8819.75,8844.85,46036871,4701.3
03-May-23,8836.8,8854.15,8803.1,8836.7,30207529,3770.73
04-May-23,8832.4,8888.2,8825.6,8881,31587728,3339.09
05-May-23,8886.2,8935.4,8882.25,8913.9,38324109,4695.46
08-May-23,8941.4,8982.65,8928.3,8976.7,36374507,3753.58
09-May-23,8993,9000.85,8936.4,8970,38479616,3865.31
10-May-23,8990.05,8999.25,8958.2,8990.85,29904590,3203.98
11-May-23,9032.85,9042.1,8983.75,9029.55,39570902,3774.9
12-May-23,9037.55,9094.55,9018.9,9065.1,37897043,4561.02
15-May-23,9074.15,9134.35,9041.55,9106.9,40807822,3690.23
16-May-23,9128.4,9137.15,9063.4,9075.25,32022002,3249.69
17-May-23,9071.35,9088.7,8993.05,9038.7,37477038,3463.73
18-May-23,9082.3,9082.3,8949.15,8958.85,45100227,3779.28
19-May-23,8979.1,8996,8920,8987.6,50228961,4056.85
22-May-23,8991.45,9090.45,8971.15,9082.9,37146542,2980.95
23-May-23,9091.1,9133.05,9075.95,9084.6,39180899,3229.16
24-May-23,9057.2,9141.45,9054.8,9131.15,50727440,3347.66
25-May-23,9130.4,9170.5,9103.15,9146.7,59060755,4023.51
26-May-23,9164.05,9278.8,9154.55,9271.4,43128171,3705.99
29-May-23,9317.35,9336.55,9265.4,9291.2,46650039,3743.76
30-May-23,9304.4,9339,9289.65,9320.15,43795266,3838.73
31-May-23,9320.75,9355.2,9291.95,9337,70138544,9874.78
01-Jun-23,9358.15,9379.95,9335.85,9356.5,31310145,3153.14
02-Jun-23,9380.25,9406.2,9354.55,9400.8,37719431,4158.96
05-Jun-23,9435.35,9442.45,9377.65,9383.65,35057735,3410.98
06-Jun-23,9379.3,9389.95,9326.95,9378.3,37446913,3818.53
07-Jun-23,9410.8,9459.35,9391.1,9449.7,37145471,4283.96
08-Jun-23,9453.25,9454.6,9347.95,9355.7,38948778,3535.28
09-Jun-23,9348.2,9385.9,9275.1,9280.6,31414735,3455.19
12-Jun-23,9311.6,9328.85,9279.05,9305.65,34729371,3617.95
13-Jun-23,9336.45,9406.4,9325.45,9378.4,46185266,4324.14
14-Jun-23,9392.15,9416.2,9364.55,9406.75,45131485,3970.11
15-Jun-23,9425.25,9455.9,9399.15,9411.5,54739393,4563.38
16-Jun-23,9416.25,9469.7,9396.75,9449.65,103899717,6900.84
19-Jun-23,9469.15,9486.65,9439.8,9447.3,46956810,3371.47
20-Jun-23,9450.4,9488.7,9395.5,9475.85,47682520,3922
21-Jun-23,9495.55,9507.25,9447.95,9472.2,35151415,3253.48
22-Jun-23,9468.4,9474.2,9417.4,9422.75,38136983,3404.42
23-Jun-23,9422.1,9422.85,9339.9,9370.45,32594800,2956.09
26-Jun-23,9381.5,9436.5,9376.1,9413.85,29827904,3193.29
27-Jun-23,9427.6,9442.15,9372.6,9414.3,29282026,2852.99
28-Jun-23,9427.95,9505.75,9422.25,9478.2,44996191,4346.59
30-Jun-23,9495.25,9616.65,9485.9,9611.8,45132985,4983.55
03-Jul-23,9635.15,9637.65,9567,9615.6,44816933,3609.29
04-Jul-23,9636.45,9663.8,9588.4,9655.8,42743707,4531.09
05-Jul-23,9676.75,9771.2,9656.05,9758.4,50354426,5520.52
06-Jul-23,9763.35,9767.25,9710.1,9741.6,43077620,5715.36
07-Jul-23,9718.3,9793.1,9642.95,9660.45,46728792,5274.22
10-Jul-23,9684.4,9687.05,9530.45,9539.8,38032626,4111.21
11-Jul-23,9577.3,9661.2,9549.15,9645.95,54474293,5130.6
12-Jul-23,9692.7,9692.95,9606.15,9633.65,72615048,5491.24
13-Jul-23,9662.5,9718.9,9619.15,9640.5,62670891,6397.16
14-Jul-23,9677.6,9813.05,9667.2,9798.15,59713046,7058.18
17-Jul-23,9814.3,9870.2,9784.8,9810.25,70245525,5610.2
18-Jul-23,9817.75,9828,9779,9805.2,43031067,4316.03
19-Jul-23,9817.45,9840.85,9746.45,9811.8,41897885,4259.72
20-Jul-23,9808.9,9904.8,9759.45,9896.35,53375308,4894.73
21-Jul-23,9789.45,9856.95,9720.2,9740.8,109147907,7452.33
24-Jul-23,9762.35,9788.8,9638.65,9654.95,83143877,5638.66
25-Jul-23,9664.45,9664.45,9594.2,9640,82263903,5915.78
26-Jul-23,9670.8,9707.5,9647.45,9691.85,48497382,3894.42
27-Jul-23,9707.45,9738.15,9639.15,9673.9,78474739,8089.31
28-Jul-23,9678.55,9692.2,9601.7,9660.75,47490797,4658.89
31-Jul-23,9659.7,9719.2,9611.05,9709.7,44263078,5007.86
01-Aug-23,9721.2,9755.3,9694.45,9737.4,37268840,5030.92
02-Aug-23,9727.4,9731.85,9622.65,9685.65,51553192,5083.49
03-Aug-23,9646.35,9686.25,9569.6,9612.45,48150913,5695.73
04-Aug-23,9626.85,9706,9624.15,9663.4,48429363,5540.65
07-Aug-23,9670.2,9721,9644.1,9714.3,36691998,4026.31
08-Aug-23,9729.8,9742.15,9684.15,9716.55,47413130,4796.95
09-Aug-23,9719.25,9759.45,9640,9753.95,48878927,4563.87
10-Aug-23,9741.2,9750.6,9676.3,9704.05,50228601,4372.13
11-Aug-23,9726,9728.15,9656.5,9673.1,58472821,5431.71
14-Aug-23,9666.55,9699.4,9590.9,9682.2,36860440,3265.15
16-Aug-23,9686.55,9734.15,9653.6,9724.35,57438970,4089.94
17-Aug-23,9717.5,9719.15,9645.3,9690.65,49540182,4596.51
18-Aug-23,9661.8,9682.15,9615.65,9651.3,50222601,4789.34
21-Aug-23,9653.5,9723.15,9643.6,9708.95,33329333,3123.34
22-Aug-23,9718.95,9734.3,9681.05,9722.1,33770643,3107.11
23-Aug-23,9751.9,9753.65,9682.3,9718.4,35676453,3694.87
24-Aug-23,9750.65,9770.55,9687.7,9698.15,34070210,3313.41
25-Aug-23,9668.75,9672.75,9606.8,9621.4,37917614,3180.55
28-Aug-23,9641.9,9652,9603.55,9621.6,41165889,2989.96
29-Aug-23,9648.75,9657.15,9606.85,9625.9,39574215,3018.09
30-Aug-23,9664.1,9706.25,9654.1,9683.45,40954654,3784
31-Aug-23,9702.4,9717.95,9624.6,9655.35,258823966,11883.57
01-Sep-23,9667.45,9742.4,9652.85,9733.05,43938721,4490.37
04-Sep-23,9763.2,9800.35,9712.05,9793.75,53915833,5212.62
05-Sep-23,9818.95,9853.95,9793.75,9832.75,39838424,3948.23
06-Sep-23,9851.95,9896.65,9809.9,9882.95,50434529,4744.9
07-Sep-23,9875.45,9899.05,9845.4,9893.05,34693921,4159.71
08-Sep-23,9918.8,9920.95,9873.05,9885.45,35612492,3452.54
11-Sep-23,9924.15,9989.85,9907.9,9982.5,32550272,3802.39
12-Sep-23,10013.85,10020.95,9915.25,10001.9,61101349,6345.94
13-Sep-23,9995.8,10033.15,9976.75,10024.35,42830230,4303.83
14-Sep-23,10049.7,10081.4,9989.5,10021.45,48622258,5303.61
15-Sep-23,10016.75,10071.25,10014.1,10051.55,60247585,6823.59
18-Sep-23,10049.5,10108.4,10028.45,10101.75,34372019,4058.5
20-Sep-23,10040.55,10087.8,10030.9,10044.75,36771805,4394.68
21-Sep-23,10021.1,10033.2,9922.8,9995,41858886,4788.56
22-Sep-23,9985.35,10017.95,9925.45,9983.9,43448079,4905.28
25-Sep-23,9980.6,10015.3,9938.45,9966.35,39121320,3897.63
26-Sep-23,9979.3,9986.85,9932.8,9957.95,34049302,4197.14
27-Sep-23,9957.2,10017.65,9923.5,10009.3,35654991,4078.77
28-Sep-23,10013.75,10017.65,9818.75,9841.1,55663910,5818.93
29-Sep-23,9843,9921.2,9800.85,9869.55,43354490,4736.38
03-Oct-23,9875.85,9876.65,9795.05,9822.35,41610753,4909.81
