Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-Apr-23,8187.85,8235.25,8172.6,8220.95,1792700541,47804.24
10-Apr-23,8242.75,8261.55,8225.15,8237.65,1479756663,42358.28
11-Apr-23,8273.25,8295.5,8251.75,8280.95,1687379236,48051.44
12-Apr-23,8300.65,8326.45,8284.1,8321.95,1591868081,48550.87
13-Apr-23,8325.05,8336.3,8291.6,8330.15,1640574938,50695.47
17-Apr-23,8339.05,8339.05,8242.5,8303.15,1730651712,58914.71
18-Apr-23,8328.1,8328.45,8274.8,8299.6,1904522005,48403.59
19-Apr-23,8302.35,8305.65,8265.25,8278.5,1807446740,45724.07
20-Apr-23,8290.95,8306.5,8267.55,8281.5,1361398066,42299.94
21-Apr-23,8291.7,8296.6,8241,8272.5,1736166000,40249.43
24-Apr-23,8304.2,8322.55,8269.85,8318.55,1847443185,44210.04
25-Apr-23,8327.6,8347.35,8311.65,8333,2324942678,56979.92
26-Apr-23,8332.25,8359.55,8313.05,8354.7,2468605527,51216.01
27-Apr-23,8358.45,8406.3,8352.55,8400.4,2449557701,52639.11
28-Apr-23,8420.85,8489,8402.6,8480.35,2546597610,61934.17
02-May-23,8512.3,8541.6,8504.25,8526.35,2608489960,56469.39
03-May-23,8513.8,8529.8,8493.2,8513.75,2665135967,53308.75
04-May-23,8517.85,8591.5,8512.7,8586.35,2813195001,54471.94
05-May-23,8545.9,8581.25,8509.25,8516.4,2554704719,57556.91
08-May-23,8541,8606,8535.1,8598.35,2040637175,53366.99
09-May-23,8618.5,8640.4,8578.7,8593.4,2102478402,55597.64
10-May-23,8614.35,8624.7,8565.95,8619.15,1887190844,48269.44
11-May-23,8645.2,8653,8618.5,8630.85,1985388112,53642.25
12-May-23,8626.5,8644.15,8586.05,8627.95,1815532120,50677.59
15-May-23,8638.4,8691.05,8621.35,8667.7,1682675706,47840.74
16-May-23,8687.55,8692.55,8628.5,8637,2115715675,52912.58
17-May-23,8645.95,8648.5,8568.5,8601.7,2005792723,51398.85
18-May-23,8646.4,8651.6,8558.75,8566.75,1911327254,52733.68
19-May-23,8588.1,8597.95,8519.5,8591.65,1742760739,51332.28
22-May-23,8592.75,8652.05,8579.75,8644.55,2018122566,54555.24
23-May-23,8670.9,8695.8,8658.4,8667,2049093689,56650.79
24-May-23,8652.25,8693.7,8638.95,8651.9,2191235484,57182.47
25-May-23,8649.35,8681.45,8630.1,8674.05,2474889439,52129.85
26-May-23,8693.45,8755.9,8682.15,8751.8,2161991478,51196.75
29-May-23,8804.95,8812.8,8786,8793.9,2275207972,49332.21
30-May-23,8800.75,8823,8786.75,8809.6,2105048720,51158.95
31-May-23,8796.15,8806.55,8760.05,8794,3994123597,132327.93
