Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-Apr-23,9253.25,9261.1,9210.8,9231.05,86038667,4224.47
10-Apr-23,9239.75,9326.65,9227.7,9301.6,85132429,3829.92
11-Apr-23,9315.8,9351.7,9260.05,9320.85,128266100,5496.49
12-Apr-23,9354.75,9361.4,9298.65,9344.15,92668305,4931.11
13-Apr-23,9310.4,9322.3,9239.55,9270.8,114320606,6267.57
17-Apr-23,9089.2,9138.4,8995.3,9129.65,179371741,13435.18
18-Apr-23,9159.7,9160.35,9089.05,9117.7,115294846,5848.58
19-Apr-23,9107.25,9116.25,9039.9,9050.45,154600237,6479.48
20-Apr-23,9053.05,9090.85,9027.1,9041.45,82738699,4447.54
21-Apr-23,9057.35,9098.7,9026.05,9092.7,107959351,5607.36
24-Apr-23,9100.1,9136.4,9054.95,9130.55,83426201,4312.19
25-Apr-23,9124.45,9163.95,9095.15,9139.7,89159979,4553.74
26-Apr-23,9142.55,9177.6,9115.5,9169,92628477,4720.86
27-Apr-23,9164.75,9212.8,9152.55,9204.8,96515743,5580.96
28-Apr-23,9216.35,9301.75,9185.65,9285.4,142666416,7516.51
02-May-23,9312.85,9379.25,9308.1,9361.75,136673329,6189.49
03-May-23,9329.75,9352.6,9304.35,9334.8,115012250,4902.91
04-May-23,9328.55,9385.2,9315.1,9376.9,101317374,4272.8
05-May-23,9381.75,9384.45,9318.65,9348,89974391,4473
08-May-23,9377.3,9432.8,9363.2,9423.55,92918609,4575.97
09-May-23,9436.15,9450.8,9371,9405.15,99250294,4808.7
10-May-23,9427.45,9436.7,9389.4,9417.25,86244535,4615.25
11-May-23,9454.2,9456.5,9396.15,9411.95,102071164,5162.21
12-May-23,9403.25,9403.25,9335.25,9362.25,122775548,5412.08
15-May-23,9384,9468.6,9353.1,9431.55,89261167,4567.34
16-May-23,9467.7,9475.85,9420.8,9427.65,85460934,3924.4
17-May-23,9424.55,9438.4,9331.7,9373.6,101983874,5351.48
18-May-23,9424.85,9430.3,9295.55,9305.85,103300350,4836.29
19-May-23,9338.8,9352.95,9276.3,9343.8,116387556,5838.74
22-May-23,9356.35,9461.85,9332.35,9452.4,101871023,4799.4
23-May-23,9471.5,9522.5,9458.8,9467.3,96595523,4716.11
24-May-23,9442,9510.85,9430.55,9487.35,91701257,3996.57
25-May-23,9488.65,9522.65,9463.65,9512.25,105143894,5134.2
26-May-23,9526.85,9606.65,9526.85,9601.15,100786005,4828.28
29-May-23,9654.4,9667.75,9608.45,9617.1,159145315,5316.68
30-May-23,9632.05,9678.45,9615.75,9657.35,119502296,5091.68
31-May-23,9644.2,9658.85,9584.1,9610.4,336427101,15353.8
01-Jun-23,9626.7,9658.75,9598.95,9608.65,123422592,5021.83
02-Jun-23,9627.45,9660.4,9607.2,9631.85,158592580,7228.06
05-Jun-23,9668.95,9684.95,9616.9,9621.75,142567010,5419.89
06-Jun-23,9603.5,9612,9525.15,9568.4,102494877,5365.48
07-Jun-23,9609.85,9677.65,9593.15,9667.2,139937525,6183.45
08-Jun-23,9671.85,9695.6,9616.5,9623.4,158771626,6346.61
