Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-Apr-23,9090.55,9142.65,9072.35,9124.5,909826081,38320.74
10-Apr-23,9146.45,9173.35,9130.1,9143.45,826360649,33865.9
11-Apr-23,9184.15,9208.55,9158.35,9192.55,870021278,38462.66
12-Apr-23,9214.35,9245.5,9194,9239.65,812293356,37699.42
,,,,,871219806,41297.2
17-Apr-23,9257.6,9257.6,9139.8,9208.85,926356223,49378.23
18-Apr-23,9237.9,9237.9,9173.1,9203.2,1185106264,38953.82
19-Apr-23,9204.3,9206.8,9160.6,9176.85,1041795396,35758.28
20-Apr-23,9188.6,9206.95,9161.35,9179.2,745011038,31948.35
21-Apr-23,9188.75,9195.1,9136.45,9171.85,1117000117,31198.04
24-Apr-23,9208.15,9231.1,9168.2,9226.4,1018929955,34072.85
25-Apr-23,9235.25,9257.9,9216.25,9241.45,1266785177,44877.3
26-Apr-23,9239.5,9270,9214.3,9264.1,1122982891,34795.24
27-Apr-23,9265.5,9321.3,9258.7,9313.95,1376674391,39438.09
28-Apr-23,9333.9,9414.65,9311.9,9404,1430474635,48232.6
02-May-23,9437.6,9471.5,9427.55,9455,1418941426,41771.91
03-May-23,9438.9,9452.6,9412.1,9436.35,1377858552,37527.24
04-May-23,9437.5,9521.7,9430.45,9516,1311798471,39181.1
05-May-23,9463.15,9506.9,9426.4,9434.05,1225810204,43141.24
08-May-23,9459.05,9537.5,9450.85,9528.55,1186449610,40785.35
09-May-23,9548.85,9574.75,9508.8,9527,1141718389,41602.71
10-May-23,9550.6,9559.35,9496.65,9553.55,1041501911,36385.91
11-May-23,9580.1,9590.35,9544.4,9558.85,1128034938,41492.57
12-May-23,9550.85,9574.25,9504.45,9557.15,937196231,38075.63
15-May-23,9567.65,9630.65,9546.75,9601.3,879444623,35070.61
16-May-23,9621.35,9625.1,9550.65,9560.95,1219123204,39103.06
17-May-23,9569.5,9572.7,9474.85,9511.7,1080434537,37144.89
18-May-23,9562.85,9567.4,9461.4,9471.85,934856235,38596.29
19-May-23,9495.8,9512.1,9425.05,9505,957979355,39242.26
22-May-23,9506.6,9576.9,9494.2,9568,1002805203,43078.41
23-May-23,9597.9,9626.05,9583.05,9593.8,934717659,45325.99
24-May-23,9575.55,9621.95,9559.85,9573.9,955305322,44126.74
25-May-23,9568.05,9607.35,9543.9,9598.7,1174083663,39772.72
26-May-23,9619.75,9695.4,9606,9690.95,966902082,37921.62
29-May-23,9751.2,9761.5,9730.6,9740.15,1069199339,35559.61
30-May-23,9746.5,9771.1,9730.9,9755.65,886679385,37415.37
31-May-23,9737.65,9740.15,9690.55,9724.8,2172440418,115672.06
01-Jun-23,9746.15,9755.75,9700.7,9711.95,908154126,39922.4
02-Jun-23,9745.4,9757.35,9715.4,9741.4,1046639124,39574.37
05-Jun-23,9780.4,9793.35,9764.1,9769.2,938125358,36203.44
06-Jun-23,9775.5,9787.9,9737.9,9776.4,786774025,36950.41
07-Jun-23,9812.65,9856.65,9799,9850.35,1120978067,37936.46
08-Jun-23,9857.4,9876.6,9789.9,9798.85,1391300822,41404.11
09-Jun-23,9814.25,9822.85,9763.75,9769.3,959961839,36614.2
12-Jun-23,9789.2,9808.2,9765.45,9796.65,834948149,30673.73
13-Jun-23,9816.55,9874.55,9816.3,9868.8,1084186362,42199.67
14-Jun-23,9887.55,9895.75,9857.3,9888.6,1276150322,37827.27
15-Jun-23,9900.6,9919.65,9856.05,9868,1089466081,43465.6
16-Jun-23,9891.7,9962.15,9885.2,9943.35,1131837837,49793.16
19-Jun-23,9971.2,9978.8,9898.4,9913.9,1057768469,40342.52
20-Jun-23,9917,9959.45,9874.15,9948.8,896548572,37895.28
21-Jun-23,9974.1,9993.65,9947.9,9975.15,1164774528,42322.17
22-Jun-23,9979,9985.8,9905.35,9912.4,1163987696,44083.86
23-Jun-23,9900.85,9905.8,9830,9837.45,940628649,39112.97
26-Jun-23,9839.15,9874.8,9827.2,9866.9,824422876,33487.17
27-Jun-23,9898.15,9932.55,9887.75,9927.8,955164239,38038.93
28-Jun-23,9975.15,10017.1,9953.45,10004.9,1378128408,63309.77
30-Jun-23,10054.7,10109.3,10033.2,10104.35,1080531994,49755.14
03-Jul-23,10139.4,10173.8,10134.2,10164.4,1165626542,39638.72
04-Jul-23,10206.7,10208.35,10146.7,10182.8,1509181842,44287.13
05-Jul-23,10196.85,10214.75,10170,10205.3,1350972831,44734.44
06-Jul-23,10205.5,10269.9,10198.65,10264.2,1347481802,47222.64
07-Jul-23,10234.6,10277.85,10163.25,10178.1,1240305349,41549.11
10-Jul-23,10212.05,10214.65,10159.3,10175.4,1065011949,41721.43
11-Jul-23,10210.85,10265.7,10201.35,10230.55,1070887363,46142.91
12-Jul-23,10260,10264.1,10209.6,10218.6,1157809102,61108.31
13-Jul-23,10272.45,10302.35,10195.8,10212.1,1385965979,47912.8
14-Jul-23,10255.8,10310.1,10224.85,10296.35,1018252959,43022.33
17-Jul-23,10322.25,10368.8,10302,10360.3,1232004380,43946
18-Jul-23,10397.15,10405.25,10335.25,10367.95,1323408635,51343.28
19-Jul-23,10395.85,10423.9,10366.05,10416.35,1202174072,44527.76
20-Jul-23,10421.1,10480.4,10387.65,10475.15,1280581854,51025.76
21-Jul-23,10399,10437,10355.8,10374.65,1622955058,55631.32
24-Jul-23,10381.3,10396.85,10336.75,10344.1,1596011222,46526.94
25-Jul-23,10375.75,10375.75,10318.35,10361.9,1321073090,50562.54
26-Jul-23,10392.85,10434.35,10379.7,10411.55,1632520101,43848.8
27-Jul-23,10450.25,10460.6,10341.7,10372.15,1570369863,57502.46
28-Jul-23,10379.95,10394.75,10343.5,10386.6,1269997501,46007.93
31-Jul-23,10397.85,10454.8,10372,10445.9,1569505847,46642.33
01-Aug-23,10466.35,10469.7,10421.85,10437.5,1397918639,45443.08
02-Aug-23,10404.55,10413.75,10258.65,10320.9,1432729118,47403.39
03-Aug-23,10293.25,10330.25,10213.65,10262.6,1840645331,59971.5
04-Aug-23,10308,10348.75,10298.7,10337.35,1769484388,55325.97
07-Aug-23,10368.85,10387.25,10339,10378.25,1542729312,46160.05
08-Aug-23,10398.15,10401.9,10336.2,10370.6,1613792359,50761.48
09-Aug-23,10379.9,10407.2,10321.95,10401.6,1218547398,46932.19
10-Aug-23,10395.4,10403.6,10334.7,10358.75,1483692915,54637.74
11-Aug-23,10372.6,10373.95,10296.1,10304.6,1217932399,48708.8
14-Aug-23,10282.1,10306.55,10188.4,10289.15,1245462320,42979.45
16-Aug-23,10258.2,10312,10228.3,10302.8,1190279941,43824.26
17-Aug-23,10303.45,10308.55,10249.55,10263.95,1255800857,44999.01
18-Aug-23,10239.4,10266.7,10210.7,10235.65,1106079620,45646.29
21-Aug-23,10245.7,10305.05,10235.5,10290.75,1053206803,37635.43
22-Aug-23,10309.65,10331.2,10299.2,10317.25,1384751601,40854.08
23-Aug-23,10343.5,10360.4,10313.6,10340.05,1171221933,42596.1
24-Aug-23,10393.15,10416.7,10317.15,10325.9,1196495683,56012.8
25-Aug-23,10286.1,10305.5,10237,10254.45,1617927035,44943.76
28-Aug-23,10278.9,10312.05,10251.5,10284.65,1510172056,36719.46
29-Aug-23,10320.15,10320.95,10294.2,10311.55,1510422315,43045.22
30-Aug-23,10360.4,10374.8,10324.35,10330.05,1378299468,41263.17
31-Aug-23,10345.85,10349,10272.5,10284.95,2622704120,97942.73
01-Sep-23,10289.75,10388.3,10285.4,10378.95,2843910229,52681.2
04-Sep-23,10427.4,10447.9,10378.95,10440.75,2883252068,52632.84
05-Sep-23,10465.3,10483.55,10440.75,10478.2,2364999754,52108.67
06-Sep-23,10487.6,10511.05,10444.95,10500.85,1946358174,55785.76
07-Sep-23,10501.2,10570.1,10485.45,10564.2,1733178051,45972.53
08-Sep-23,10592.4,10645.75,10574.9,10624.35,1835324690,51015.69
11-Sep-23,10668.55,10730.45,10656.85,10725.4,2212692250,50457.19
12-Sep-23,10785.55,10785.6,10618.55,10645.05,2650442314,62707.63
13-Sep-23,10641.95,10691.2,10595.15,10681,2015694165,49310.59
14-Sep-23,10717.9,10746.15,10685.35,10721.05,1591633002,44342.54
15-Sep-23,10753.65,10779.35,10733.65,10763.6,2418340145,70911.85
18-Sep-23,10758.75,10766.2,10725.2,10733,2277923733,45478.67
20-Sep-23,10665,10700.75,10611.9,10626.85,1657926982,59894.33
21-Sep-23,10600.05,10603.75,10522.2,10540.85,1412684864,46276
22-Sep-23,10545.15,10575.1,10496.15,10511.45,1533919244,44950.22
25-Sep-23,10518.1,10541.45,10471.25,10518.7,1233372857,40389.78
26-Sep-23,10524.05,10537.95,10502.95,10515.65,1409965081,36375.94
27-Sep-23,10508.7,10557.15,10469,10549.85,1450048849,40381.94
28-Sep-23,10573.35,10575.75,10420.8,10436.15,1707743825,57096.47
29-Sep-23,10470.05,10550.9,10456.7,10510.25,1264356953,42802.05
