Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-Apr-24,2955,2973,2925.7,2935.1,2947.834313,677948,29990,1998478377,184834,27.26,47.3,-19.9
10-Apr-24,2949.95,2974,2934.55,2958.6,2954.214931,164355,9664,485539995,94527,57.51,39.45,8.65
09-Apr-24,2975,2978.75,2925,2927.1,2949.193861,59883,6112,176606576,25840,43.15,53.75,-47.9
08-Apr-24,2923.4,2980.5,2923.4,2971,2968.44656,148392,8242,440493722,98296,66.24,57.1,47.6
05-Apr-24,2928,2941.5,2911.9,2919.95,2926.01891,431312,18136,1262027068,143477,33.27,29.6,-8.05
04-Apr-24,2958.55,2958.55,2900.5,2926.45,2925.897323,104590,11700,306019601,37660,36.01,58.05,-32.1
03-Apr-24,2966.9,2966.9,2938,2942.4,2953.585427,127109,8238,375427290,73468,57.8,28.9,-24.5
02-Apr-24,2969.5,2987.9,2950,2971.3,2965.583303,118525,7370,351495761,57548,48.55,37.9,1.8
01-Apr-24,2985,2988.5,2965,2969.5,2972.535563,229355,13392,681765894,164364,71.66,23.5,-15.5
28-Mar-24,2994.35,3011.25,2959,2976.8,2992.714789,422263,19036,1263712725,117047,27.72,52.25,-17.55
27-Mar-24,2899.65,2999.9,2897.9,2987.85,2978.105311,471025,30930,1402762054,255487,54.24,102,88.2
26-Mar-24,2888.6,2905.25,2877,2884.15,2886.672583,943865,6807,2724629218,914823,96.92,28.25,-4.45
22-Mar-24,2897.05,2920,2895.35,2909.9,2909.081691,562484,15427,1636311906,78114,13.89,24.65,12.85
21-Mar-24,2891.4,2915,2889.65,2901.3,2903.229132,77091,5769,223812837,26566,34.46,25.35,9.9
20-Mar-24,2851.05,2890.2,2848.05,2886.8,2873.738617,152906,10817,439411877,100666,65.84,42.15,35.75
19-Mar-24,2865.6,2873.6,2835,2850.75,2847.348767,128206,10945,365047196,88047,68.68,38.6,-14.85
18-Mar-24,2837.2,2883,2833.65,2878.35,2854.944498,146410,12317,417992424,66180,45.2,49.35,41.15
15-Mar-24,2854.95,2866.45,2826.9,2837.25,2840.608395,396001,21991,1124883765,75672,19.11,39.55,-17.7
14-Mar-24,2865,2897.35,2851,2865.25,2874.621359,162637,20571,467519794,64504,39.66,46.35,0.25
13-Mar-24,2955.45,2965.95,2855.85,2864.7,2909.462683,97957,8660,285002236,43718,44.63,110.1,-90.75
12-Mar-24,2932,2976.3,2932,2950.2,2958.248359,83500,7871,247013738,23642,28.31,44.3,18.2
11-Mar-24,2984.7,2984.7,2927.35,2931.2,2955.097861,111587,10618,329750505,54522,48.86,57.35,-53.5
07-Mar-24,3002.15,3005.9,2951.25,2958.1,2971.691631,387052,22348,1150199189,52841,13.65,54.65,-44.05
06-Mar-24,2989.45,3019,2957,3005.95,2987.106243,110021,8033,328644416,42963,39.05,62,16.5
05-Mar-24,3011.7,3011.7,2973,2998.3,2992.697256,70928,6149,212266031,24362,34.35,38.7,-13.4
04-Mar-24,2981,3024.8,2975.05,3011.6,3003.934719,139795,9389,419935054,83191,59.51,49.75,30.6
02-Mar-24,2980.7,3000,2975,2980.85,2989.584806,36619,9696,109475606,21933,59.9,25,0.15
01-Mar-24,2916.7,2999,2916.7,2986,2973.19565,544407,33877,1618628524,148133,27.21,82.3,69.3
29-Feb-24,2931.05,2958,2909.55,2924.75,2933.130281,192376,11046,564263871,90108,46.84,48.45,-6.3
28-Feb-24,2964.9,2982,2900.55,2909,2931.449676,64333,7090,188588952,23610,36.7,81.45,-55.9
27-Feb-24,2968.8,2999.85,2956,2970.4,2976.457644,83211,5724,247674017,47670,57.29,43.85,1.6
26-Feb-24,2989.75,2989.75,2964.55,2974.35,2974.721045,40874,4779,121588748,15006,36.71,25.2,-15.4
23-Feb-24,2971.4,2996.15,2965.25,2986.35,2984.339062,653001,31433,1948776392,118582,18.16,30.9,14.95
22-Feb-24,2937.95,2969.1,2916,2963.35,2937.578178,212597,12452,624520308,132693,62.42,53.1,25.4
21-Feb-24,2943.85,2977,2916.15,2938.2,2950.667095,103405,11504,305113731,48255,46.67,60.85,-5.65
20-Feb-24,2949.9,2949.9,2924,2940.75,2935.855281,104430,6247,306591367,72252,69.19,25.9,-9.15
19-Feb-24,2921.35,2958.8,2907.55,2946.15,2934.313269,163441,12133,479587095,78402,47.97,51.25,24.8
16-Feb-24,2945.05,2953.3,2917.35,2921.35,2926.681186,542931,20042,1588985943,76261,14.05,35.95,-23.7
15-Feb-24,2963.4,2968.4,2932.9,2941.9,2946.123509,81881,14250,241231539,29413,35.92,35.5,-21.5
14-Feb-24,2911.4,2966.6,2911.4,2962.6,2942.853081,122707,8937,361108673,74250,60.51,55.2,51.2
13-Feb-24,2910.4,2957.8,2909.4,2928.95,2934.462992,322902,13850,947543969,245207,75.94,48.4,18.55
12-Feb-24,2922.3,2922.35,2885,2902.95,2900.938399,147206,17705,427035538,87275,59.29,37.35,-19.35
09-Feb-24,2905,2944.15,2902.6,2922.3,2923.983017,812171,30548,2374774211,121987,15.02,41.55,17.3
08-Feb-24,2895.6,2919.75,2856.7,2902.95,2886.327226,98849,7477,285310560,33100,33.49,63.05,7.35
07-Feb-24,2870,2898,2858.45,2883.4,2873.74181,320512,17141,921068735,194686,60.74,39.55,13.4
06-Feb-24,2887.4,2887.4,2840.8,2856.8,2860.732432,115081,6943,329215949,50293,43.7,46.6,-30.6
05-Feb-24,2921.2,2940,2864,2877.05,2911.268786,128072,8519,372852016,44011,34.36,76,-44.15
02-Feb-24,2864.45,2949.9,2864.45,2914.75,2911.806905,653622,30556,1903221053,107676,16.47,85.45,50.3
01-Feb-24,2871.2,2885.25,2836.7,2852.7,2858.016913,88274,10933,252288585,31217,35.36,48.55,-18.5
