Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-Apr-23,8935.25,8991.15,8909.15,8983.15,361906678,5903.84
10-Apr-23,9019.2,9024.4,8978.75,8998.7,354162334,5480.86
11-Apr-23,9033.95,9059.4,9019.45,9040.05,357779126,5759.37
12-Apr-23,9061.3,9094.7,9047.2,9074.5,364623712,6681.82
,,,,,403236687,6178.67
17-Apr-23,9094.8,9130.25,9059.5,9116.8,445306485,6199.73
18-Apr-23,9136.85,9154.55,9101.45,9123.35,383037335,6368.7
19-Apr-23,9142.75,9170.95,9113.2,9123.4,404498716,6359.56
20-Apr-23,9156.35,9169.3,9133.5,9148.3,342767573,7026.19
21-Apr-23,9174.75,9177.2,9089.65,9130.8,314331691,6320.96
24-Apr-23,9154.85,9187.7,9126.95,9174.1,523534792,6833.28
25-Apr-23,9191.5,9232.65,9174.2,9205.05,709980270,8521.95
26-Apr-23,9217.25,9264,9213.9,9255.55,971771283,12808.09
27-Apr-23,9278.5,9312.05,9273.35,9300.85,579213706,8762.51
28-Apr-23,9345.9,9403,9344.3,9392.6,736893829,9417.04
02-May-23,9446.8,9499.55,9437.1,9452.85,736120654,9436.15
03-May-23,9449.45,9496.8,9437.2,9465.75,772374236,10464.47
04-May-23,9491.3,9557.35,9490.9,9546.9,849675581,9713.78
05-May-23,9552.75,9578.65,9482.05,9494.25,855994166,9632.21
08-May-23,9538.3,9577.75,9521.6,9564.4,539802223,7942.53
09-May-23,9604.2,9638.9,9512.9,9524,637640926,9645.87
10-May-23,9545.05,9583.85,9495.95,9572.35,554634694,8023.43
11-May-23,9621.1,9666.35,9615.45,9640.65,443823501,7708.08
12-May-23,9653.25,9667.1,9592.6,9603.3,386768400,8027.36
15-May-23,9624.55,9683.65,9574.9,9673.25,441082682,8302.79
16-May-23,9708.7,9731.2,9666.75,9676.95,537106316,9692.37
17-May-23,9701.35,9739.05,9661.3,9718.3,613263675,10164.14
18-May-23,9761.8,9777.65,9660.85,9678.55,638958661,8976.01
19-May-23,9704.25,9708.15,9590.25,9674.85,415472874,7574.23
22-May-23,9670.85,9723.45,9627.95,9713.55,676537225,7466.37
23-May-23,9733.2,9771.75,9719.3,9725.45,536504588,7135.29
24-May-23,9714.9,9776.45,9695.25,9729.5,786541932,8361.16
25-May-23,9740.25,9767.5,9723,9759.15,600645964,7525.28
26-May-23,9786.25,9817.2,9761.3,9804.15,550124350,7534.8
29-May-23,9854.2,9857.05,9809.65,9831.8,620678349,7633.99
30-May-23,9846.9,9863.2,9824.05,9836.9,713188928,7877.64
31-May-23,9832.95,9929.8,9821.2,9913.4,1250988684,9951.9
01-Jun-23,9944.9,10018.3,9940.3,9995.35,828293346,9538
02-Jun-23,10046,10079.85,10034.2,10043.45,783252749,9941.6
05-Jun-23,10102.8,10124.15,10063.95,10071.25,827214977,11382.42
06-Jun-23,10102.1,10132.05,10067.65,10125.7,917943859,10412.24
07-Jun-23,10173.35,10246.9,10172.8,10239.2,1959745992,11823.36
08-Jun-23,10270,10277.85,10159.4,10170.75,949958629,9669.35
09-Jun-23,10199.15,10205,10147.95,10164.25,916007260,10336.98
12-Jun-23,10205.2,10238.3,10175.1,10229.85,869713535,9615.27
